,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
77,5260.5,747.17,793.6060000000001,8.0,32.0,72.0,335.54,640.75,537.94,706.42,8.0,0.79,2264.0,0.44,1.37,70.31,1.04,4500.97,pyramidal_neocortex
78,4300.64,386.11,793.607,7.0,40.0,87.0,269.67,599.0,518.98,628.18,11.0,0.8,2386.0,0.51,1.52,70.87,1.05,4541.35,pyramidal_neocortex
79,7748.36,1026.95,1248.68,7.0,53.0,113.0,311.35,888.28,722.1,939.61,22.0,0.78,3941.0,0.54,1.38,67.07,1.07,7381.92,pyramidal_neocortex
80,2525.51,209.93,519.927,11.0,18.0,47.0,198.68,277.27,208.43,253.82,3.0,0.85,1033.0,0.35,1.45,78.89,1.04,2790.91,pyramidal_neocortex
81,3246.18,258.76,656.4810000000001,9.0,35.0,79.0,220.28,616.06,532.22,705.97,9.0,0.77,2175.0,0.44,1.57,63.48,1.07,3751.39,pyramidal_neocortex
82,3950.54,346.1,656.4810000000001,7.0,39.0,85.0,364.19,537.34,404.49,537.38,9.0,0.83,2333.0,0.51,1.64,65.3,1.05,4395.64,pyramidal_neocortex
83,4860.5,356.88,795.145,5.0,112.0,229.0,191.14,238.79,175.43,328.41,13.0,0.77,3621.0,0.49,1.94,78.4,1.09,5964.75,Others
84,3342.73,282.95,751.363,9.0,27.0,63.0,272.55,735.99,592.63,752.21,6.0,0.8,1811.0,0.46,1.67,57.7,1.08,3616.35,pyramidal_neocortex
86,5098.51,365.16,517.1990000000001,8.0,44.0,96.0,444.45,557.83,376.16,667.07,10.0,0.76,3564.0,0.51,1.72,76.95,1.07,6195.1,pyramidal_neocortex
87,8899.49,1295.88,1089.91,5.0,45.0,95.0,336.73,731.11,622.04,832.98,17.0,0.79,3990.0,0.61,1.51,58.87,1.07,6940.53,pyramidal_neocortex
88,8610.46,634.27,1006.53,8.0,75.0,158.0,605.54,844.13,708.82,986.68,13.0,0.74,6070.0,0.48,1.64,75.86,1.09,10451.29,pyramidal_neocortex
89,6851.95,865.87,906.931,10.0,50.0,110.0,238.24,680.79,550.91,652.01,11.0,0.76,3360.0,0.44,1.36,66.95,1.07,6248.4,pyramidal_neocortex
90,14195.7,1013.59,571.7919999999999,4.0,186.0,376.0,344.82,430.42,523.42,875.86,14.0,0.75,10209.0,0.51,1.93,74.55,1.06,18059.8,Somatostatin (SOM)-positive
91,5867.72,564.43,857.309,7.0,53.0,113.0,384.01,709.8,501.88,706.98,11.0,0.73,4150.0,0.47,1.57,67.57,1.1,6344.72,pyramidal_neocortex
92,15013.4,1144.14,741.1560000000001,8.0,85.0,178.0,1017.28,829.14,1039.52,1583.5,13.0,0.72,12333.0,0.58,1.95,77.71,1.08,18451.7,pyramidal_neocortex
93,10799.1,736.6,536.794,7.0,76.0,159.0,642.62,628.4,559.83,1231.44,13.0,0.71,8926.0,0.53,1.88,73.32,1.09,13630.1,pyramidal_neocortex
94,6857.31,571.12,1033.41,5.0,69.0,143.0,258.09,616.61,551.16,1150.64,15.0,0.73,5169.0,0.52,1.67,79.89,1.09,8020.49,pyramidal_neocortex
95,8221.7,1009.87,963.375,6.0,71.0,148.0,305.6,872.48,554.14,689.71,16.0,0.8,3734.0,0.48,1.6,74.43,1.07,8128.81,pyramidal_neocortex
96,12602.9,915.96,716.8689999999999,8.0,107.0,222.0,963.71,1038.0,943.27,1226.5,14.0,0.83,6639.0,0.56,1.75,75.12,1.07,15575.6,pyramidal_neocortex
97,5824.39,550.96,616.315,7.0,35.0,77.0,831.79,665.34,790.68,1081.97,7.0,0.82,2735.0,0.48,1.5,79.25,1.06,6591.39,pyramidal_neocortex
98,8298.37,616.17,636.975,6.0,62.0,130.0,972.93,1139.67,1039.17,1542.68,10.0,0.79,4728.0,0.54,1.68,82.89,1.09,10262.6,pyramidal_neocortex
99,11655.7,809.85,524.48,6.0,295.0,596.0,277.41,450.2,398.84,697.2,29.0,0.74,9264.0,0.69,1.95,80.02,1.13,14532.9,Others
100,14801.1,1012.73,1041.17,8.0,153.0,314.0,963.53,1138.33,943.96,1449.64,17.0,0.81,9564.0,0.62,1.8,82.95,1.1,18822.0,pyramidal_neocortex
101,14727.3,916.18,610.486,6.0,233.0,472.0,865.84,1427.21,1673.94,2087.9,23.0,0.82,11125.0,0.68,1.95,81.63,1.08,19300.0,pyramidal_neocortex
102,6528.93,484.23,1140.83,2.0,53.0,108.0,1477.06,1216.77,1588.39,1983.12,20.0,0.81,4176.0,0.64,1.72,79.72,1.09,7866.7,pyramidal_neocortex
103,16709.7,1264.35,698.535,7.0,154.0,315.0,902.21,881.55,752.86,1408.2,15.0,0.82,11517.0,0.63,1.84,82.83,1.08,20179.09,pyramidal_neocortex
104,11183.1,801.18,678.313,6.0,115.0,236.0,921.85,808.59,888.23,1925.3,17.0,0.82,8160.0,0.67,1.81,75.68,1.08,13770.7,pyramidal_neocortex
105,12258.4,1226.31,858.701,6.0,140.0,286.0,841.7,821.87,748.33,1412.02,26.0,0.79,6865.0,0.64,1.75,77.37,1.11,13256.8,pyramidal_neocortex
106,7193.45,948.39,858.701,2.0,50.0,102.0,313.87,805.24,733.18,933.46,20.0,0.71,3540.0,0.45,1.42,81.3,1.12,6681.75,pyramidal_neocortex
107,6180.76,432.68,643.251,8.0,54.0,116.0,764.71,961.54,750.42,1100.08,15.0,0.75,4163.0,0.56,1.72,75.46,1.14,7791.61,pyramidal_neocortex
108,10834.8,676.66,643.252,7.0,101.0,209.0,1029.85,826.85,733.62,1787.24,16.0,0.82,7615.0,0.59,1.91,78.59,1.07,14133.2,pyramidal_neocortex
109,9091.62,691.54,173.207,5.0,81.0,167.0,764.33,864.45,862.45,1449.73,16.0,0.83,4792.0,0.69,1.76,75.38,1.09,10919.7,pyramidal_neocortex
110,6262.08,514.38,563.279,4.0,61.0,126.0,980.68,869.72,936.86,1292.28,19.0,0.86,3462.0,0.66,1.77,77.37,1.05,7333.53,pyramidal_neocortex
111,22774.6,2378.67,1010.46,16.0,145.0,306.0,633.58,985.75,815.18,1764.52,28.0,0.8,9742.0,0.57,1.61,77.32,1.09,24507.2,pyramidal_neocortex
112,29183.5,1805.98,1436.04,4.0,983.0,1970.0,732.48,1100.49,892.96,1413.26,58.0,0.79,22067.0,0.69,1.98,81.66,1.14,38153.0,pyramidal_neocortex
113,3530.42,334.01,515.613,6.0,38.0,82.0,271.16,725.47,516.79,604.24,8.0,0.8,1857.0,0.59,1.66,79.2,1.1,4078.98,pyramidal_neocortex
114,15025.6,1044.75,598.919,9.0,312.0,633.0,318.54,720.57,526.24,1190.14,30.0,0.85,9839.0,0.75,1.95,81.9,1.1,18968.3,pyramidal_neocortex
116,2547.4,236.26,413.05300000000005,5.0,22.0,49.0,201.72,429.06,331.1,472.44,8.0,0.8,1268.0,0.63,1.44,64.61,1.07,2699.98,pyramidal_neocortex
117,11225.8,767.39,677.944,6.0,131.0,268.0,535.55,1015.23,899.69,1509.88,18.0,0.83,6731.0,0.58,1.87,78.87,1.08,13869.0,pyramidal_neocortex
118,1737.36,460.73,1118.3,5.0,9.0,23.0,145.76,284.01,213.52,218.13,4.0,0.92,354.0,0.28,1.15,57.62,1.02,1148.69,pyramidal_neocortex
119,14406.1,1196.96,597.886,7.0,268.0,543.0,519.06,829.34,806.3,1065.7,32.0,0.81,8216.0,0.61,1.89,83.64,1.1,16643.4,Martinotti
120,11663.4,880.12,673.9780000000001,6.0,193.0,392.0,631.82,721.06,799.72,1297.97,26.0,0.8,7039.0,0.63,1.91,82.73,1.09,13916.6,Martinotti
121,12689.5,1333.81,1076.54,2.0,111.0,224.0,444.97,947.67,767.98,983.11,21.0,0.82,6491.0,0.54,1.74,78.19,1.09,12989.3,pyramidal_neocortex
122,19070.2,1265.18,708.028,6.0,370.0,746.0,714.71,694.19,676.31,1264.33,20.0,0.84,12686.0,0.62,1.97,77.92,1.08,23726.0,Martinotti
123,14182.0,1568.88,995.315,6.0,118.0,242.0,384.74,963.69,771.01,1154.25,21.0,0.79,7562.0,0.58,1.65,77.6,1.09,14397.3,pyramidal_neocortex
